a52dec 0.7.4-12
aalib 1.4rc5-15
accounts-qml-module 0.7-4
accountsservice 23.13.9-1
acl 2.3.1-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adobe-source-han-sans-otc-fonts 2.004-1
adwaita-cursors 43-2
adwaita-icon-theme 43-2
aha 0.5.1-2
akonadi-contacts 22.12.3-1
alsa-lib 1.2.8-1
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.8-1
alsa-utils 1.2.8-1
aom 3.6.0-1
apparmor 3.1.3-1
appstream 0.16.1-2
appstream-qt 0.16.1-2
archlinux-appstream-data 20230220-1
archlinux-keyring 20230320-1
argon2 20190702-4
ark 22.12.3-1
arm-none-eabi-gdb 13.1-1
at-spi2-core 2.48.0-2
atkmm 2.28.3-1
attica 5.105.0-1
attr 2.5.1-3
audiocd-kio 22.12.3-1
audit 3.1-1
autoconf 2.71-4
automake 1.16.5-2
avahi 0.8+22+gfd482a7-3
awesome-terminal-fonts 1.1.0-4
babl 0.1.102-1
baloo 5.105.0-1
baloo-widgets 22.12.3-1
base 3-1
base-devel 1-1
bash 5.1.016-3
bash-completion 2.11-3
bind 9.18.13-1
binutils 2.40-4
bison 3.8.2-5
blas 3.11.0-2
bluedevil 1:5.27.4-1
bluez 5.66-1
bluez-libs 5.66-1
bluez-qt 5.105.0-1
bluez-utils 5.66-1
bolt 0.9.5-1
boost-libs 1.81.0-3
box2d 2.4.1-1
brave-bin 1:1.50.114-1
breeze 5.27.4-1
breeze-gtk 5.27.4-2
breeze-icons 5.105.0-1
bridge-utils 1.7.1-1
brotli 1.0.9-10
btrfs-progs 6.2.2-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.19.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.89-1
ca-certificates-utils 20220905-1
cabextract 1.11-1
cairo 1.17.8-2
cairomm 1.14.4-1
cantarell-fonts 1:0.303.1-1
capstone 4.0.2-6
cdparanoia 10.2-8
celluloid 0.25-1
cfitsio 1:4.2.0-1
chromium 112.0.5615.121-1
cifs-utils 7.0-3
clinfo 3.0.21.02.21-1
clucene 2.3.3.4-14
cmake 3.26.3-1
cmatrix 2.0-2
confuse 3.3-3
convertlit 1.8-11
coreutils 9.2-3
cronie 1.6.1-1
cryptsetup 2.6.1-3
cups 1:2.4.2-6
cups-filters 1.28.17-2
curl 8.0.1-1
dav1d 1.1.0-1
db5.3 5.3.28-2
dbus 1.14.6-2
dbus-glib 0.112-2
dbus-python 1.2.18-4
dconf 0.40.0-2
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.26-2
device-mapper 2.03.20-1
dialog 1:1.3_20230209-1
diffutils 3.9-1
discount 2.2.7.c-1
discover 5.27.4-1
dmidecode 3.5-1
dmraid 1.0.0.rc16.3-14
dnsmasq 2.89-1
dnssec-anchors 20190629-3
dolphin 22.12.3-1
dosfstools 4.2-3
double-conversion 3.2.1-1
drkonqi 5.27.4-1
dtc 1.6.1-4
duktape 2.7.0-5
e2fsprogs 1.47.0-1
ebook-tools 0.2.2-7
editorconfig-core-c 0.12.6-1
edk2-ovmf 202211-3
efibootmgr 18-2
efivar 38-3
egl-wayland 2:1.1.11-4
eglexternalplatform 1.1-2
electron19 19.1.9-5
ell 0.56-1
emacs 28.2-2
enchant 2.3.4-1
exfat-utils 1.4.0-1
exiv2 0.27.6-1
expat 2.5.0-1
fakeroot 1.31-2
ffmpeg 2:6.0-4
fftw 3.3.10-4
file 5.44-3
filelight 22.12.3-1
filesystem 2023.01.31-1
findutils 4.9.0-3
flac 1.4.2-1
flashrom 1.2-4
flex 2.6.4-5
fontconfig 2:2.14.2-1
frameworkintegration 5.105.0-1
freeglut 3.4.0-1
freetype2 2.13.0-1
fribidi 1.0.12-1
fuse-common 3.14.1-1
